vendor/galaxy-explorer/index.html	27	Составление звёздной описи…
vendor/galaxy-explorer/index.html	31	Колесо мыши — приблизиться к курсору
vendor/galaxy-explorer/index.html	33	Зажать ЛКМ — повернуть галактику
vendor/galaxy-explorer/index.html	35	Стрелки / WASD — обзор, Q/E — зум
vendor/galaxy-explorer/index.html	37	Сверху справа — настройки
vendor/galaxy-explorer/index.html	40	Настройки галактики
vendor/galaxy-explorer/index.html	40	Настройки
vendor/galaxy-explorer/index.html	42	Кодекс — коллекция находок
vendor/galaxy-explorer/index.html	42	Кодекс
vendor/galaxy-explorer/index.html	44	Режим отображения: подписи / сцена / кино
vendor/galaxy-explorer/index.html	44	Режим отображения
vendor/galaxy-explorer/src/audio/ambient.js	47	Следующий трек
vendor/galaxy-explorer/src/audio/ambient.js	56	Космическая музыка
vendor/galaxy-explorer/src/audio/ambient.js	57	Музыка
vendor/galaxy-explorer/src/codex/codexData.js	54	Лавовая планета
vendor/galaxy-explorer/src/codex/codexData.js	55	Каменистая планета
vendor/galaxy-explorer/src/codex/codexData.js	56	Пустынная планета
vendor/galaxy-explorer/src/codex/codexData.js	57	Планета земного типа
vendor/galaxy-explorer/src/codex/codexData.js	58	Океаническая планета
vendor/galaxy-explorer/src/codex/codexData.js	59	Ледяная планета
vendor/galaxy-explorer/src/codex/codexData.js	60	Газовый гигант
vendor/galaxy-explorer/src/codex/codexData.js	72	Безжизненные руины
vendor/galaxy-explorer/src/codex/codexData.js	73	Мир машин
vendor/galaxy-explorer/src/codex/codexData.js	74	Разрушенный мир
vendor/galaxy-explorer/src/codex/codexData.js	75	Уничтоженный мир
vendor/galaxy-explorer/src/codex/codexData.js	89	Человечество
vendor/galaxy-explorer/src/codex/codexData.js	89	Виды
vendor/galaxy-explorer/src/codex/codexData.js	89	Земля
vendor/galaxy-explorer/src/codex/codexData.js	90	Фримены
vendor/galaxy-explorer/src/codex/codexData.js	90	Арракис
vendor/galaxy-explorer/src/codex/codexData.js	91	На’ви
vendor/galaxy-explorer/src/codex/codexData.js	91	Пандора
vendor/galaxy-explorer/src/codex/codexData.js	94	Строители Знаков
vendor/galaxy-explorer/src/codex/codexData.js	96	Тау-Волантис
